time,participant,order,category,comment_timestamp,participant_name,id,N_window,Prop_NA,Prop_Overlap,w_size_set
0:00:00,participant01,1,The others,0,participant_test_01,1,1,1,NA,0.5
0:00:04,participant01,1,The others,4000000,participant_test_01,2,1,1,NA,0.5
0:00:05,participant01,1,The others,5000000,participant_test_01,3,1,1,NA,0.5
0:00:06,participant01,1,The others,6000000,participant_test_01,4,1,1,NA,0.5
0:00:07,participant01,1,The others,7000000,participant_test_01,5,1,1,NA,0.5
0:00:08,participant01,1,The others,8000000,participant_test_01,6,1,1,NA,0.5
0:00:09,participant01,1,The others,9000000,participant_test_01,7,1,1,NA,0.5
0:00:11,participant01,1,The others,11000000,participant_test_01,8,1,1,NA,0.5
0:00:12,participant01,1,The others,12000000,participant_test_01,9,1,1,NA,0.5
0:00:13,participant01,1,The others,13000000,participant_test_01,10,1,1,NA,0.5
0:00:15,participant01,1,The others,15000000,participant_test_01,11,1,1,NA,0.5
0:00:16,participant01,1,The others,16000000,participant_test_01,12,1,1,NA,0.5
0:00:17,participant01,1,The others,17000000,participant_test_01,13,1,1,NA,0.5
0:00:18,participant01,1,The others,18000000,participant_test_01,14,1,1,NA,0.5
0:00:20,participant01,1,The others,20000000,participant_test_01,15,1,1,NA,0.5
0:00:22,participant01,1,Appropriate,22000000,participant_test_01,16,1,1,NA,0.5
0:00:25,participant01,1,The others,25000000,participant_test_01,17,1,1,NA,0.5
0:00:26,participant01,1,The others,26000000,participant_test_01,18,1,1,NA,0.5
0:00:30,participant01,1,Appropriate,30000000,participant_test_01,19,1,1,NA,0.5
0:00:31,participant01,1,The others,31000000,participant_test_01,20,1,1,NA,0.5
0:00:33,participant01,1,The others,33000000,participant_test_01,21,1,1,NA,0.5
0:00:36,participant01,1,Appropriate,36000000,participant_test_01,22,1,1,NA,0.5
0:00:38,participant01,1,The others,38000000,participant_test_01,23,1,1,NA,0.5
0:00:39,participant01,1,The others,39000000,participant_test_01,24,1,1,NA,0.5
0:00:39,participant01,1,The others,39000000,participant_test_01,25,1,1,NA,0.5
0:00:41,participant01,1,The others,41000000,participant_test_01,26,1,1,NA,0.5
0:00:42,participant01,1,The others,42000000,participant_test_01,27,1,1,NA,0.5
0:00:44,participant01,1,The others,44000000,participant_test_01,28,1,1,NA,0.5
0:00:46,participant01,1,The others,46000000,participant_test_01,29,1,1,NA,0.5
0:00:47,participant01,1,The others,47000000,participant_test_01,30,1,1,NA,0.5
0:00:49,participant01,1,The others,49000000,participant_test_01,31,1,1,NA,0.5
0:00:53,participant01,1,The others,53000000,participant_test_01,32,1,1,NA,0.5
0:00:54,participant01,1,The others,54000000,participant_test_01,33,1,1,NA,0.5
0:00:55,participant01,1,The others,55000000,participant_test_01,34,1,1,NA,0.5
0:01:00,participant01,1,The others,60000000,participant_test_01,35,1,1,NA,0.5
0:01:00,participant01,1,The others,60000000,participant_test_01,36,1,1,NA,0.5
0:01:01,participant01,1,The others,61000000,participant_test_01,37,1,1,NA,0.5
0:01:03,participant01,1,The others,63000000,participant_test_01,38,1,1,NA,0.5
0:01:05,participant01,1,The others,65000000,participant_test_01,39,1,1,NA,0.5
0:01:09,participant01,1,The others,69000000,participant_test_01,40,1,1,NA,0.5
0:01:11,participant01,1,The others,71000000,participant_test_01,41,1,1,NA,0.5
0:01:13,participant01,1,The others,73000000,participant_test_01,42,1,1,NA,0.5
0:01:15,participant01,1,The others,75000000,participant_test_01,43,1,1,NA,0.5
0:01:18,participant01,1,The others,78000000,participant_test_01,44,1,1,NA,0.5
0:01:20,participant01,1,The others,80000000,participant_test_01,45,1,1,NA,0.5
0:01:21,participant01,1,The others,81000000,participant_test_01,46,1,1,NA,0.5
0:01:23,participant01,1,The others,83000000,participant_test_01,47,1,1,NA,0.5
0:01:27,participant01,1,The others,87000000,participant_test_01,48,1,1,NA,0.5
0:01:31,participant01,1,The others,91000000,participant_test_01,49,1,1,NA,0.5
0:01:33,participant01,1,The others,93000000,participant_test_01,50,1,1,NA,0.5
0:01:35,participant01,1,The others,95000000,participant_test_01,51,1,1,NA,0.5
0:01:38,participant01,1,The others,98000000,participant_test_01,52,1,1,NA,0.5
0:01:39,participant01,1,Appropriate,99000000,participant_test_01,53,1,1,NA,0.5
0:01:40,participant01,1,The others,100000000,participant_test_01,54,1,1,NA,0.5
0:01:43,participant01,1,The others,103000000,participant_test_01,55,1,1,NA,0.5
0:01:44,participant01,1,The others,104000000,participant_test_01,56,1,1,NA,0.5
0:01:45,participant01,1,The others,105000000,participant_test_01,57,1,1,NA,0.5
0:01:47,participant01,1,The others,107000000,participant_test_01,58,1,1,NA,0.5
0:01:49,participant01,1,The others,109000000,participant_test_01,59,1,1,NA,0.5
0:01:50,participant01,1,The others,110000000,participant_test_01,60,1,1,NA,0.5
